Year of installation/conception,Year of decomissioning,Name,Technology,PTO,Country,City,Type of breakwater,Phase,Injecting(/ed) electricity in grid,Installed capacity (kW),Capture width,Comments,Relevant papers,Latitude,Longitude,Figure
1985,1988,Toftestallen OWC,OWC,Wells turbine,Norway,Toftestallen,None,Destroyed,Unknown,500,?,,http://dx.doi.org/10.1016/j.renene.2015.07.086,60.46949,4.922024,toftestallen.jpg
1985,1990's,TAPCHAN,OTD,Kaplan turbine,Norway,Toftestallen,None,Decommissioned,Yes,350,?,,https://doi.org/10.1007/978-3-642-82666-5_3;https://doi.org/10.1016/j.rser.2009.11.003,60.469989,4.924,tapchan.jpg
1991,?,Sakata Port OWC,OWC,Wells turbine,Japan,Sataka,Vertical,Decommissioned,Unknown,60,3.3,,http://dx.doi.org/10.1016/j.renene.2015.07.086,38.931111,139.818889,sakata.jpg
1991,2011,OWC Trivandrum,OWC,Wells turbine;Impulse turbine,India,Trivandrum,Rubble-mound,Decommissioned,No,150,6.3,,https://www.jstor.org/stable/24093688,8.3932201,77.004626,trivandrum.jpg
1999,2018,Pico-OWC,OWC,Wells turbine,Portugal,Pico,None,Decommissioned,Yes,400,35,,https://doi.org/10.1115/OMAE2013-10928,38.4580494,-28.3228165,pico.jpg
2004,?,Niigata Port OWC,OWC,Wells turbine;Impulse turbine,Japan,Niigata,Vertical,Existing,Unknown,450,39,,https://doi.org/10.1299/jfst.3.466,37.9161244,139.0363708,niigata.jpg
2007,-,Seawave Slot-cone Generator,Multi-reservoir OTD,Kaplan turbine,Norway,Kvitsoy,Rubble-mound; Vertical,Conceptual,No,150,22,,https://doi.org/10.1016/j.renene.2008.09.009,59.065102,5.389622,ssg.jpg
2011,-,Mutriku,OWC,Wells turbine,Spain,Mutriku,Vertical,Existing,Yes,259,26,,https://api.semanticscholar.org/CorpusID:195835884;https://doi.org/10.1016/j.oceaneng.2021.108654,43.3059287,-2.3872807,mutriku.jpg
2012,-,Seahorse,Multiple oscillating bodies,Hydraulic + Pelton turbine,Brazil,Pecem,Rubble-mound,Existing,Unknown,50,35,,https://doi.org/10.3390/en16083409,-3.5261,-38.796275,seahorse.jpg
2015,-,ReWEC3,OWC,Wells turbine,Italy,Civitavecchia,Vertical,Existing,No,2720,60-90,,"https://doi.org/10.1115/OMAE2013-11593;https://doi.org/10.1115/OMAE2013-10928;https://doi.org/10.1115/OMAE2017-62036, ",42.1007242,11.7829578,rewec.jpg
2016,-,OBREC,Single-reservoir OTD,Pico turbine,Italy,Naples,Rubble-mound,Existing,No,2.5,13.9,,"https://doi.org/10.1016/j.coastaleng.2014.02.004;https://doi.org/10.9753/icce.v35.structures.12; https://doi.org/10.1016/j.renene.2019.08.115",40.8517983,14.26812,obrec.jpg
2016,2022,EWP Gibraltar,Multiple oscillating bodies,Hydraulic PTO,Gibraltar,Gibraltar,Vertical,Decommissioned,Yes,100,50,,"https://www.ecowavepower.com/gibraltar/;https://www.sustainable-markets.org/terra-carta-x-change/projects/ecowave-power/",36.125068,-5.340433,gibraltar.jpg
2018,-,h-WEC,Multi-reservoir OTD; OWC,Hydro turbine,Portugal,Matosinhos,Rubble-mound,Conceptual,No,100,27.3,,"https://doi.org/10.3390/en13010236;https://doi.org/10.1016/j.energy.2020.118845",41.171503,-8.708226,h-wec.jpg
2023,-,Jaffa Port,Multiple oscillating bodies,Hydraulic PTO,Israel,Tel-Aviv,Vertical,Existing,Yes,100,50,,"https://tethys.pnnl.gov/project-sites/eco-wave-power-wave-energy-power-station-jaffa#papers-reports-research-studies;https://www.oedigital.com/news/507234-eco-wave-power-s-wave-energy-project-connects-to-israel-s-power-grid",32.050262,34.748049,jaffa.jpg
2000,2012,LIMPET,OWC,Wells turbine,Scotland,Islay,None,Decommissioned,Yes,250,?,,"https://tethys.pnnl.gov/sites/default/files/publications/Islay_LIMPET_Report.pdf;https://doi.org/10.1016/B978-008043865-8/50334-2",55.69038,-6.522406,limpet.jpg
